Attribute_Word,Category,Female_Author_Bias,Male_Author_Bias,Delta
submissive,stereotype_traits,-0.06630483021338779,-0.021676950156688746,0.04462788005669904
manager,professions,-0.038637461761633574,-0.005507210890452141,0.03313025087118143
nurse,professions,-0.07048880929748219,-0.10136185834805173,-0.030873049050569534
strong,stereotype_traits,-0.0060820852716764184,0.02005116641521454,0.026133251686890957
imagination,arts,-0.00915601352850598,0.01282061388095218,0.02197662740945816
art,arts,-0.005126334726810455,0.015840895473957062,0.020967230200767517
poetry,arts,-0.01970772941907245,-0.0006331726908683777,0.019074556728204073
artist,professions,-0.0010874085128307343,0.016902834177017212,0.017990242689847946
painting,arts,0.004053233812252699,-0.0084027498960495,-0.012455983708302198
beauty,arts,-0.0707523301243782,-0.08170446256796521,-0.010952132443587004
lawyer,professions,0.025328402717908205,0.014417536556720734,-0.010910866161187471
gentle,stereotype_traits,-0.029673986136913244,-0.040174747506777464,-0.01050076136986422
story,arts,-0.007879023750623104,0.001138053834438324,0.009017077585061428
reason,science,-0.009488746523857117,-0.0007677599787712097,0.008720986545085907
clerk,professions,0.004624854773283005,-0.0023134971658388404,-0.006938351939121845
dance,arts,-0.04912414525945985,-0.04295898973941803,0.006165155520041821
doctor,professions,0.033988870680332184,0.03984046975771588,0.005851599077383696
song,arts,-0.015487243731816591,-0.021125738819440243,-0.005638495087623652
sensitive,stereotype_traits,-0.017560675740242004,-0.0128970667719841,0.004663608968257904
emotion,arts,-0.00639514128367108,-0.002326024075349209,0.004069117208321871
science,science,0.014956134061018589,0.012059976657231686,-0.002896157403786903
music,arts,-0.022834613919258118,-0.024675612648328127,-0.0018409987290700092
literature,arts,-0.01607046276330948,-0.014582385619481386,0.0014880771438280926
caring,stereotype_traits,0.0016331498821576806,0.0019063924749692096,0.00027324259281152896
rational,stereotype_traits,-0.008122757077217102,-0.008345812559127808,-0.00022305548191070557
